nr|query|ldeepquery|steps|costs|planningtime
10|SELECT * FROM cast_info, company_name, keyword, movie_companies, movie_keyword, name, title WHERE name.id = cast_info.person_id AND cast_info.movie_id = title.id AND title.id = movie_keyword.movie_id AND movie_keyword.keyword_id = keyword.id AND title.id = movie_companies.movie_id AND movie_companies.company_id = company_name.id AND cast_info.movie_id = movie_companies.movie_id AND cast_info.movie_id = movie_keyword.movie_id AND movie_companies.movie_id = movie_keyword.movie_id  |((((((company_name AS companyname movie_companies AS moviecompanies) title) movie_keyword AS moviekeyword) keyword) cast_info AS castinfo) name)|57|245013274.2|0.0680549144744873
11|SELECT * FROM company_name, company_type, info_type, info_type AS info_type2, kind_type, movie_companies, movie_info, movie_info_idx, title WHERE movie_info.movie_id = title.id AND info_type2.id = movie_info.info_type_id AND kind_type.id = title.kind_id AND movie_companies.movie_id = title.id AND company_name.id = movie_companies.company_id AND company_type.id = movie_companies.company_type_id AND movie_info_idx.movie_id = title.id AND info_type.id = movie_info_idx.info_type_id AND movie_info.movie_id = movie_info_idx.movie_id AND movie_info.movie_id = movie_companies.movie_id AND movie_info_idx.movie_id = movie_companies.movie_id  |(((((((company_type AS companytype info_type AS infotype) kind_type AS kindtype) title) movie_info_idx AS movieinfoidx) movie_companies AS moviecompanies) company_name AS companyname) movie_info AS movieinfo)|77|416341802327.8|0.11606192588806152
12|SELECT * FROM aka_name, cast_info, info_type, link_type, movie_link, name, person_info, title WHERE name.id = aka_name.person_id AND name.id = person_info.person_id AND cast_info.person_id = name.id AND title.id = cast_info.movie_id AND movie_link.linked_movie_id = title.id AND link_type.id = movie_link.link_type_id AND info_type.id = person_info.info_type_id AND person_info.person_id = aka_name.person_id AND person_info.person_id = cast_info.person_id AND aka_name.person_id = cast_info.person_id AND cast_info.movie_id = movie_link.linked_movie_id  |(((((((info_type AS infotype link_type AS linktype) movie_link AS movielink) title) cast_info AS castinfo) name) person_info AS personinfo) aka_name AS akaname)|77|36763754468.2|0.11730480194091797
13|SELECT * FROM cast_info, company_name, info_type, info_type AS info_type2, keyword, movie_companies, movie_info, movie_info_idx, movie_keyword, name, title WHERE title.id = movie_info.movie_id AND title.id = movie_info_idx.movie_id AND title.id = cast_info.movie_id AND title.id = movie_keyword.movie_id AND title.id = movie_companies.movie_id AND cast_info.movie_id = movie_info.movie_id AND cast_info.movie_id = movie_info_idx.movie_id AND cast_info.movie_id = movie_keyword.movie_id AND cast_info.movie_id = movie_companies.movie_id AND movie_info.movie_id = movie_info_idx.movie_id AND movie_info.movie_id = movie_keyword.movie_id AND movie_info.movie_id = movie_companies.movie_id AND movie_info_idx.movie_id = movie_keyword.movie_id AND movie_info_idx.movie_id = movie_companies.movie_id AND movie_keyword.movie_id = movie_companies.movie_id AND name.id = cast_info.person_id AND info_type.id = movie_info.info_type_id AND info_type2.id = movie_info_idx.info_type_id AND keyword.id = movie_keyword.keyword_id AND company_name.id = movie_companies.company_id  |(((((((((company_name AS companyname movie_companies AS moviecompanies) title) movie_keyword AS moviekeyword) keyword) movie_info AS movieinfo) info_type AS infotype) movie_info_idx AS movieinfoidx) cast_info AS castinfo) name)|126|9544978516.2|0.19392967224121094
14|SELECT * FROM cast_info, keyword, movie_keyword, name, title WHERE keyword.id = movie_keyword.keyword_id AND title.id = movie_keyword.movie_id AND title.id = cast_info.movie_id AND cast_info.movie_id = movie_keyword.movie_id AND name.id = cast_info.person_id  |((((keyword movie_keyword AS moviekeyword) title) cast_info AS castinfo) name)|26|219818823.4|0.02825760841369629
15|SELECT * FROM company_name, keyword, movie_companies, movie_keyword, title WHERE company_name.id = movie_companies.company_id AND movie_companies.movie_id = title.id AND title.id = movie_keyword.movie_id AND movie_keyword.keyword_id = keyword.id AND movie_companies.movie_id = movie_keyword.movie_id|((((company_name AS companyname movie_companies AS moviecompanies) title) movie_keyword AS moviekeyword) keyword)|26|25987470.2|0.025465011596679688
16|SELECT * FROM complete_cast, comp_cast_type, comp_cast_type AS comp_cast_type2, company_name, company_type, info_type, info_type AS info_type2, keyword, kind_type, movie_companies, movie_info, movie_info_idx, movie_keyword, title WHERE kind_type.id = title.kind_id AND title.id = movie_info.movie_id AND title.id = movie_keyword.movie_id AND title.id = movie_info_idx.movie_id AND title.id = movie_companies.movie_id AND title.id = complete_cast.movie_id AND movie_keyword.movie_id = movie_info.movie_id AND movie_keyword.movie_id = movie_info_idx.movie_id AND movie_keyword.movie_id = movie_companies.movie_id AND movie_keyword.movie_id = complete_cast.movie_id AND movie_info.movie_id = movie_info_idx.movie_id AND movie_info.movie_id = movie_companies.movie_id AND movie_info.movie_id = complete_cast.movie_id AND movie_companies.movie_id = movie_info_idx.movie_id AND movie_companies.movie_id = complete_cast.movie_id AND movie_info_idx.movie_id = complete_cast.movie_id AND keyword.id = movie_keyword.keyword_id AND info_type.id = movie_info.info_type_id AND info_type2.id = movie_info_idx.info_type_id AND company_type.id = movie_companies.company_type_id AND company_name.id = movie_companies.company_id AND comp_cast_type.id = complete_cast.subject_id AND comp_cast_type2.id = complete_cast.status_id  |(((((((((((comp_cast_type AS compcasttype info_type AS infotype) complete_cast AS completecast) movie_info AS movieinfo) title) kind_type AS kindtype) movie_companies AS moviecompanies) company_name AS companyname) company_type AS companytype) movie_keyword AS moviekeyword) keyword) movie_info_idx AS movieinfoidx)|187|43851104439.2|0.3379030227661133
17|SELECT * FROM company_name, company_type, info_type, info_type AS info_type2, movie_companies, movie_info, movie_info_idx, title WHERE title.id = movie_info.movie_id AND title.id = movie_info_idx.movie_id AND movie_info.info_type_id = info_type.id AND movie_info_idx.info_type_id = info_type2.id AND title.id = movie_companies.movie_id AND company_type.id = movie_companies.company_type_id AND company_name.id = movie_companies.company_id AND movie_companies.movie_id = movie_info.movie_id AND movie_companies.movie_id = movie_info_idx.movie_id AND movie_info.movie_id = movie_info_idx.movie_id  |((((((company_type AS companytype info_type AS infotype) movie_companies AS moviecompanies) company_name AS companyname) movie_info AS movieinfo) title) movie_info_idx AS movieinfoidx)|57|7204225158.2|0.07930564880371094
18|SELECT * FROM company_name, company_name AS company_name2, info_type, info_type AS info_type2, kind_type, kind_type AS kind_type2, link_type, movie_companies, movie_companies AS movie_companies2, movie_info_idx, movie_info_idx AS movie_info_idx2, movie_link, title, title AS title2 WHERE link_type.id = movie_link.link_type_id AND title.id = movie_link.movie_id AND title2.id = movie_link.linked_movie_id AND info_type.id = movie_info_idx.info_type_id AND title.id = movie_info_idx.movie_id AND kind_type.id = title.kind_id AND company_name.id = movie_companies.company_id AND title.id = movie_companies.movie_id AND movie_link.movie_id = movie_info_idx.movie_id AND movie_link.movie_id = movie_companies.movie_id AND movie_info_idx.movie_id = movie_companies.movie_id AND info_type2.id = movie_info_idx2.info_type_id AND title2.id = movie_info_idx2.movie_id AND kind_type2.id = title2.kind_id AND company_name2.id = movie_companies2.company_id AND title2.id = movie_companies2.movie_id AND movie_link.linked_movie_id = movie_info_idx2.movie_id AND movie_link.linked_movie_id = movie_companies2.movie_id AND movie_info_idx2.movie_id = movie_companies2.movie_id  |(((((((info_type AS infotype link_type AS linktype) kind_type AS kindtype) movie_link AS movielink) movie_info_idx AS movieinfoidx) title) movie_companies AS moviecompanies) company_name AS companyname)|77|655532272802.8|0.1501142978668213
19|SELECT * FROM complete_cast, comp_cast_type, comp_cast_type AS comp_cast_type2, char_name, cast_info, keyword, kind_type, movie_keyword, name, title WHERE kind_type.id = title.kind_id AND title.id = movie_keyword.movie_id AND title.id = cast_info.movie_id AND title.id = complete_cast.movie_id AND movie_keyword.movie_id = cast_info.movie_id AND movie_keyword.movie_id = complete_cast.movie_id AND cast_info.movie_id = complete_cast.movie_id AND char_name.id = cast_info.person_role_id AND name.id = cast_info.person_id AND keyword.id = movie_keyword.keyword_id AND comp_cast_type.id = complete_cast.subject_id AND comp_cast_type2.id = complete_cast.status_id  |((((((((comp_cast_type AS compcasttype complete_cast AS completecast) title) kind_type AS kindtype) movie_keyword AS moviekeyword) keyword) cast_info AS castinfo) char_name AS charname) name)|100|8351815.0|0.1619274616241455
20|SELECT * FROM company_name, company_type, keyword, link_type, movie_companies, movie_info, movie_keyword, movie_link, title WHERE link_type.id = movie_link.link_type_id AND movie_link.movie_id = title.id AND title.id = movie_keyword.movie_id AND movie_keyword.keyword_id = keyword.id AND title.id = movie_companies.movie_id AND movie_companies.company_type_id = company_type.id AND movie_companies.company_id = company_name.id AND movie_info.movie_id = title.id AND movie_link.movie_id = movie_keyword.movie_id AND movie_link.movie_id = movie_companies.movie_id AND movie_keyword.movie_id = movie_companies.movie_id AND movie_link.movie_id = movie_info.movie_id AND movie_keyword.movie_id = movie_info.movie_id AND movie_companies.movie_id = movie_info.movie_id  |((((((((company_type AS companytype link_type AS linktype) movie_link AS movielink) movie_companies AS moviecompanies) company_name AS companyname) title) movie_keyword AS moviekeyword) keyword) movie_info AS movieinfo)|100|82670476413.0|0.16968870162963867
21|SELECT * FROM info_type, keyword, movie_info_idx, movie_keyword, title WHERE title.id = movie_info_idx.movie_id AND title.id = movie_keyword.movie_id AND movie_keyword.movie_id = movie_info_idx.movie_id AND keyword.id = movie_keyword.keyword_id AND info_type.id = movie_info_idx.info_type_id  |((((keyword movie_keyword AS moviekeyword) title) movie_info_idx AS movieinfoidx) info_type AS infotype)|26|117554419.4|0.028990745544433594
22|SELECT * FROM company_name, company_type, keyword, link_type, movie_companies, movie_info, movie_keyword, movie_link, title WHERE link_type.id = movie_link.link_type_id AND movie_link.movie_id = title.id AND title.id = movie_keyword.movie_id AND movie_keyword.keyword_id = keyword.id AND title.id = movie_companies.movie_id AND movie_companies.company_type_id = company_type.id AND movie_companies.company_id = company_name.id AND movie_info.movie_id = title.id AND movie_link.movie_id = movie_keyword.movie_id AND movie_link.movie_id = movie_companies.movie_id AND movie_keyword.movie_id = movie_companies.movie_id AND movie_link.movie_id = movie_info.movie_id AND movie_keyword.movie_id = movie_info.movie_id AND movie_companies.movie_id = movie_info.movie_id  |((((((((company_type AS companytype link_type AS linktype) movie_link AS movielink) movie_companies AS moviecompanies) company_name AS companyname) title) movie_keyword AS moviekeyword) keyword) movie_info AS movieinfo)|100|82670476413.0|0.1267232894897461
23|SELECT * FROM company_name, company_type, info_type, info_type AS info_type2, kind_type, movie_companies, movie_info, movie_info_idx, title WHERE movie_info.movie_id = title.id AND info_type2.id = movie_info.info_type_id AND kind_type.id = title.kind_id AND movie_companies.movie_id = title.id AND company_name.id = movie_companies.company_id AND company_type.id = movie_companies.company_type_id AND movie_info_idx.movie_id = title.id AND info_type.id = movie_info_idx.info_type_id AND movie_info.movie_id = movie_info_idx.movie_id AND movie_info.movie_id = movie_companies.movie_id AND movie_info_idx.movie_id = movie_companies.movie_id  |(((((((company_type AS companytype info_type AS infotype) kind_type AS kindtype) title) movie_info_idx AS movieinfoidx) movie_companies AS moviecompanies) company_name AS companyname) movie_info AS movieinfo)|77|416341802327.8|0.0952920913696289
24|SELECT * FROM complete_cast, comp_cast_type, comp_cast_type AS comp_cast_type2, char_name, cast_info, info_type, keyword, kind_type, movie_info_idx, movie_keyword, name, title WHERE kind_type.id = title.kind_id AND title.id = movie_keyword.movie_id AND title.id = cast_info.movie_id AND title.id = complete_cast.movie_id AND title.id = movie_info_idx.movie_id AND movie_keyword.movie_id = cast_info.movie_id AND movie_keyword.movie_id = complete_cast.movie_id AND movie_keyword.movie_id = movie_info_idx.movie_id AND cast_info.movie_id = complete_cast.movie_id AND cast_info.movie_id = movie_info_idx.movie_id AND complete_cast.movie_id = movie_info_idx.movie_id AND char_name.id = cast_info.person_role_id AND name.id = cast_info.person_id AND keyword.id = movie_keyword.keyword_id AND comp_cast_type.id = complete_cast.subject_id AND comp_cast_type2.id = complete_cast.status_id AND info_type.id = movie_info_idx.info_type_id  |((((((((((comp_cast_type AS compcasttype info_type AS infotype) complete_cast AS completecast) movie_info_idx AS movieinfoidx) title) kind_type AS kindtype) cast_info AS castinfo) char_name AS charname) name) movie_keyword AS moviekeyword) keyword)|155|15973698140.2|0.23383545875549316
25|SELECT * FROM cast_info, keyword, movie_keyword, name, title WHERE keyword.id = movie_keyword.keyword_id AND title.id = movie_keyword.movie_id AND title.id = cast_info.movie_id AND cast_info.movie_id = movie_keyword.movie_id AND name.id = cast_info.person_id  |((((keyword movie_keyword AS moviekeyword) title) cast_info AS castinfo) name)|26|219818823.4|0.021825313568115234
26|SELECT * FROM aka_name, char_name, cast_info, company_name, info_type, movie_companies, movie_info, name, role_type, title WHERE title.id = movie_info.movie_id AND title.id = movie_companies.movie_id AND title.id = cast_info.movie_id AND movie_companies.movie_id = cast_info.movie_id AND movie_companies.movie_id = movie_info.movie_id AND movie_info.movie_id = cast_info.movie_id AND company_name.id = movie_companies.company_id AND info_type.id = movie_info.info_type_id AND name.id = cast_info.person_id AND role_type.id = cast_info.role_id AND name.id = aka_name.person_id AND cast_info.person_id = aka_name.person_id AND char_name.id = cast_info.person_role_id  |(((((((((info_type AS infotype role_type AS roletype) cast_info AS castinfo) char_name AS charname) movie_info AS movieinfo) name) aka_name AS akaname) title) movie_companies AS moviecompanies) company_name AS companyname)|126|20274299956.2|0.23276185989379883
27|SELECT * FROM aka_name, char_name, cast_info, company_name, info_type, keyword, movie_companies, movie_info, movie_keyword, name, role_type, title WHERE title.id = movie_info.movie_id AND title.id = movie_companies.movie_id AND title.id = cast_info.movie_id AND title.id = movie_keyword.movie_id AND movie_companies.movie_id = cast_info.movie_id AND movie_companies.movie_id = movie_info.movie_id AND movie_companies.movie_id = movie_keyword.movie_id AND movie_info.movie_id = cast_info.movie_id AND movie_info.movie_id = movie_keyword.movie_id AND cast_info.movie_id = movie_keyword.movie_id AND company_name.id = movie_companies.company_id AND info_type.id = movie_info.info_type_id AND name.id = cast_info.person_id AND role_type.id = cast_info.role_id AND name.id = aka_name.person_id AND cast_info.person_id = aka_name.person_id AND char_name.id = cast_info.person_role_id AND keyword.id = movie_keyword.keyword_id  |(((((((((((info_type AS infotype role_type AS roletype) cast_info AS castinfo) char_name AS charname) movie_info AS movieinfo) name) aka_name AS akaname) title) movie_companies AS moviecompanies) company_name AS companyname) movie_keyword AS moviekeyword) keyword)|187|38607463466.2|0.342909574508667
28|SELECT * FROM company_type, info_type, movie_companies, movie_info_idx, title WHERE company_type.id = movie_companies.company_type_id AND title.id = movie_companies.movie_id AND title.id = movie_info_idx.movie_id AND movie_companies.movie_id = movie_info_idx.movie_id AND info_type.id = movie_info_idx.info_type_id  |((((company_type AS companytype info_type AS infotype) movie_companies AS moviecompanies) movie_info_idx AS movieinfoidx) title)|26|893072535.2|0.02384471893310547
29|SELECT * FROM company_name, company_type, info_type, info_type AS info_type2, keyword, kind_type, movie_companies, movie_info, movie_info_idx, movie_keyword, title WHERE kind_type.id = title.kind_id AND title.id = movie_info.movie_id AND title.id = movie_keyword.movie_id AND title.id = movie_info_idx.movie_id AND title.id = movie_companies.movie_id AND movie_keyword.movie_id = movie_info.movie_id AND movie_keyword.movie_id = movie_info_idx.movie_id AND movie_keyword.movie_id = movie_companies.movie_id AND movie_info.movie_id = movie_info_idx.movie_id AND movie_info.movie_id = movie_companies.movie_id AND movie_companies.movie_id = movie_info_idx.movie_id AND keyword.id = movie_keyword.keyword_id AND info_type.id = movie_info.info_type_id AND info_type2.id = movie_info_idx.info_type_id AND company_type.id = movie_companies.company_type_id AND company_name.id = movie_companies.company_id  |(((((((((company_type AS companytype info_type AS infotype) kind_type AS kindtype) title) movie_companies AS moviecompanies) company_name AS companyname) movie_info AS movieinfo) movie_keyword AS moviekeyword) keyword) movie_info_idx AS movieinfoidx)|126|745633960994.8|0.17972850799560547
30|SELECT * FROM aka_name, char_name, cast_info, company_name, movie_companies, name, role_type, title WHERE cast_info.movie_id = title.id AND title.id = movie_companies.movie_id AND cast_info.movie_id = movie_companies.movie_id AND movie_companies.company_id = company_name.id AND cast_info.role_id = role_type.id AND name.id = cast_info.person_id AND char_name.id = cast_info.person_role_id AND aka_name.person_id = name.id AND aka_name.person_id = cast_info.person_id  |(((((((aka_name AS akaname name) cast_info AS castinfo) char_name AS charname) role_type AS roletype) title) movie_companies AS moviecompanies) company_name AS companyname)|77|880826755.6|0.1107020378112793
31|SELECT * FROM keyword, movie_info, movie_keyword, title WHERE title.id = movie_info.movie_id AND title.id = movie_keyword.movie_id AND movie_keyword.movie_id = movie_info.movie_id AND keyword.id = movie_keyword.keyword_id  |(((keyword movie_keyword AS moviekeyword) title) movie_info AS movieinfo)|15|63043526.4|0.013434886932373047
32|SELECT * FROM complete_cast, comp_cast_type, comp_cast_type AS comp_cast_type2, char_name, cast_info, keyword, kind_type, movie_keyword, name, title WHERE kind_type.id = title.kind_id AND title.id = movie_keyword.movie_id AND title.id = cast_info.movie_id AND title.id = complete_cast.movie_id AND movie_keyword.movie_id = cast_info.movie_id AND movie_keyword.movie_id = complete_cast.movie_id AND cast_info.movie_id = complete_cast.movie_id AND char_name.id = cast_info.person_role_id AND name.id = cast_info.person_id AND keyword.id = movie_keyword.keyword_id AND comp_cast_type.id = complete_cast.subject_id AND comp_cast_type2.id = complete_cast.status_id  |((((((((comp_cast_type AS compcasttype complete_cast AS completecast) title) kind_type AS kindtype) movie_keyword AS moviekeyword) keyword) cast_info AS castinfo) char_name AS charname) name)|100|8351815.0|0.1492910385131836
33|SELECT * FROM cast_info, info_type, info_type AS info_type2, movie_info, movie_info_idx, name, title WHERE title.id = movie_info.movie_id AND title.id = movie_info_idx.movie_id AND title.id = cast_info.movie_id AND cast_info.movie_id = movie_info.movie_id AND cast_info.movie_id = movie_info_idx.movie_id AND movie_info.movie_id = movie_info_idx.movie_id AND name.id = cast_info.person_id AND info_type.id = movie_info.info_type_id AND info_type2.id = movie_info_idx.info_type_id  |(((((info_type AS infotype movie_info AS movieinfo) title) movie_info_idx AS movieinfoidx) cast_info AS castinfo) name)|40|5519910869.6|0.05778908729553223
34|SELECT * FROM aka_name, cast_info, info_type, link_type, movie_link, name, person_info, title WHERE name.id = aka_name.person_id AND name.id = person_info.person_id AND cast_info.person_id = name.id AND title.id = cast_info.movie_id AND movie_link.linked_movie_id = title.id AND link_type.id = movie_link.link_type_id AND info_type.id = person_info.info_type_id AND person_info.person_id = aka_name.person_id AND person_info.person_id = cast_info.person_id AND aka_name.person_id = cast_info.person_id AND cast_info.movie_id = movie_link.linked_movie_id  |(((((((info_type AS infotype link_type AS linktype) movie_link AS movielink) title) cast_info AS castinfo) name) person_info AS personinfo) aka_name AS akaname)|77|36763754468.2|0.08515071868896484
35|SELECT * FROM aka_name, char_name, cast_info, company_name, info_type, movie_companies, movie_info, name, role_type, title WHERE title.id = movie_info.movie_id AND title.id = movie_companies.movie_id AND title.id = cast_info.movie_id AND movie_companies.movie_id = cast_info.movie_id AND movie_companies.movie_id = movie_info.movie_id AND movie_info.movie_id = cast_info.movie_id AND company_name.id = movie_companies.company_id AND info_type.id = movie_info.info_type_id AND name.id = cast_info.person_id AND role_type.id = cast_info.role_id AND name.id = aka_name.person_id AND cast_info.person_id = aka_name.person_id AND char_name.id = cast_info.person_role_id  |(((((((((info_type AS infotype role_type AS roletype) cast_info AS castinfo) char_name AS charname) movie_info AS movieinfo) name) aka_name AS akaname) title) movie_companies AS moviecompanies) company_name AS companyname)|126|20274299956.2|0.17426395416259766
36|SELECT * FROM char_name, cast_info, company_name, company_type, movie_companies, role_type, title WHERE title.id = movie_companies.movie_id AND title.id = cast_info.movie_id AND cast_info.movie_id = movie_companies.movie_id AND char_name.id = cast_info.person_role_id AND role_type.id = cast_info.role_id AND company_name.id = movie_companies.company_id AND company_type.id = movie_companies.company_type_id  |((((((company_type AS companytype role_type AS roletype) movie_companies AS moviecompanies) cast_info AS castinfo) char_name AS charname) company_name AS companyname) title)|57|7367744166.0|0.07705283164978027
